file,source,map_name,game_mode,qqt_id,h,w,n_players,wall,brick,overhead,pushable,crate_rate,crate_coverage,music,background,sprites,init_bombs,init_blast,init_speed
level_0148.pt,snow21_4.map,冰雪封情,普通(normal),522,13,15,4,28,77,0,32,0.612245,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0149.pt,snow22_8.map,冰天雪地,普通(normal),523,13,15,8,13,92,0,56,0.512422,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0150.pt,snow23_8.map,开心雪花,普通(normal),524,13,15,8,21,138,0,106,0.341615,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0151.pt,snow24_6.map,水面之QQT,普通(normal),525,13,15,6,36,92,0,36,0.512422,1.0,res/wall/雪地/snow.ogg,res/wall/雪地/xd.png,0,2,2,1.3
level_0152.pt,town01_4.map,中国城01,普通(normal),201,13,15,4,66,78,0,21,0.604396,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0153.pt,town02_4.map,中国城02,普通(normal),202,13,15,4,29,82,0,20,0.574913,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0154.pt,town03_6.map,,普通(normal),0,13,15,6,61,81,0,7,0.582011,1.0,,res/wall/比武/bw.png,0,2,2,1.3
level_0155.pt,town04_8.map,中国城04,普通(normal),204,13,15,8,62,86,0,12,0.548173,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0156.pt,town05_8.map,中国城05,普通(normal),205,13,15,8,64,75,0,19,0.628571,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0157.pt,town06_8.map,中国城06,普通(normal),206,13,15,8,50,91,0,16,0.518053,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0158.pt,town07_8.map,中国城07,普通(normal),207,13,15,8,59,66,2,21,0.714286,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0159.pt,town08_8.map,中国城08,普通(normal),208,13,15,8,73,68,2,9,0.693277,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0160.pt,town09_8.map,中国城09,普通(normal),209,13,15,8,68,73,0,16,0.645793,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0161.pt,town10_8.map,中国城10,普通(normal),210,13,15,8,68,52,4,12,0.906593,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0162.pt,town11_8.map,景阳岗,普通(normal),214,13,15,8,12,60,1,22,0.785714,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0163.pt,town12_8.map,新年瑞兽(道具场),普通(normal),216,13,15,8,12,71,0,30,0.663984,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0164.pt,town13_8.map,中国城13,普通(normal),213,13,15,8,100,67,0,12,0.703625,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0165.pt,town14_8.map,中国城03,普通(normal),203,13,15,8,21,130,1,4,0.362637,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0166.pt,town15_8.map,中国城15,普通(normal),215,13,15,8,54,98,9,4,0.48105,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0167.pt,town16_8.map,黄金甲外城(道具场),普通(normal),219,13,15,8,40,89,2,0,0.529695,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0168.pt,town17_8.map,黄金甲内城(道具场),普通(normal),220,13,15,8,23,88,0,0,0.535714,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0169.pt,town18_8.map,永恒的见证,普通(normal),221,13,15,8,4,78,0,46,0.604396,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0170.pt,town19_8.map,冰心城,普通(normal),222,13,15,8,5,106,0,40,0.444744,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0171.pt,town20_8.map,城内大战,普通(normal),223,13,15,8,56,57,0,10,0.827068,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0172.pt,town21_8.map,梅花,普通(normal),224,13,15,8,39,64,0,40,0.736607,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0173.pt,town22_8.map,双子杀手,普通(normal),225,13,15,8,28,66,0,16,0.714286,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0174.pt,town23_4.map,梦之旅,普通(normal),226,13,15,4,63,64,0,34,0.736607,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0175.pt,town24_8.map,v段战斗图,普通(normal),227,13,15,8,5,96,0,46,0.491071,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0176.pt,town28_8.map,乱战小区,普通(normal),228,13,15,8,8,110,1,60,0.428571,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0177.pt,town29_4.map,泾渭分明,普通(normal),229,13,15,4,7,60,0,54,0.785714,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0178.pt,town30_6.map,英语中国城,普通(normal),230,13,15,6,10,79,0,25,0.596745,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0179.pt,town31_4.map,我们一起走过,普通(normal),231,13,15,4,8,95,0,46,0.496241,1.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,2,2,1.3
level_0180.pt,treasure01_4.map,夺宝01,夺宝(treasure),1101,13,15,4,2,96,5,52,0.491071,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0181.pt,treasure02_6.map,夺宝02,夺宝(treasure),1102,13,15,6,14,104,0,62,0.453297,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0182.pt,treasure03_8.map,夺宝03,夺宝(treasure),1103,13,15,8,29,98,0,38,0.48105,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0183.pt,treasure04_8.map,夺宝04,夺宝(treasure),1104,13,15,8,23,74,0,18,0.637066,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0184.pt,treasure05_8.map,夺宝05(道具场),夺宝(treasure),1114,13,15,8,17,100,0,44,0.471429,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0185.pt,treasure06_8.map,夺宝06,夺宝(treasure),1106,13,15,8,13,118,2,59,0.399516,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0186.pt,treasure07_8.map,夺宝07,夺宝(treasure),1107,13,15,8,34,112,2,55,0.420918,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0187.pt,treasure08_8.map,夺宝08,夺宝(treasure),1108,13,15,8,17,117,0,60,0.40293,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0188.pt,treasure09_8.map,夺宝09,夺宝(treasure),1109,13,15,8,41,96,0,32,0.491071,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0189.pt,treasure10_8.map,夺宝10,夺宝(treasure),1110,13,15,8,40,102,0,46,0.462185,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0190.pt,treasure11_8.map,夺宝11,夺宝(treasure),1111,13,15,8,13,88,0,0,0.535714,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0191.pt,treasure12_8.map,珍宝岛,夺宝(treasure),1112,13,15,8,52,85,4,44,0.554622,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0192.pt,treasure13_8.map,龙窟夺宝,夺宝(treasure),1113,13,15,8,19,108,4,76,0.436508,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0193.pt,treasure14_8.map,夺宝15,夺宝(treasure),1115,13,15,8,28,106,7,50,0.444744,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0194.pt,treasure15_6.map,夺宝城,夺宝(treasure),1116,13,15,6,14,105,0,46,0.44898,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0195.pt,treasure16_8.map,虎口脱险,夺宝(treasure),1117,13,15,8,32,97,8,34,0.486009,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0196.pt,treasure17_8.map,龙窟夺宝(新),夺宝(treasure),1118,13,15,8,29,104,0,44,0.453297,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0197.pt,treasure18_8.map,夺宝18,夺宝(treasure),1119,13,15,8,9,122,0,58,0.386417,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0198.pt,treasure19_4.map,宝石天下,夺宝(treasure),1120,13,15,4,17,106,2,56,0.444744,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0199.pt,treasure20_4.map,夺宝战神,夺宝(treasure),1121,13,15,4,45,106,0,62,0.444744,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0200.pt,treasure22_4.map,夺宝王城,夺宝(treasure),1122,13,15,4,5,97,2,53,0.486009,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0201.pt,treasure23_4.map,宝石守护像,夺宝(treasure),1123,13,15,4,12,104,1,60,0.453297,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0202.pt,treasure24_8.map,瞬杀狂魔,夺宝(treasure),1124,13,15,8,7,70,2,42,0.673469,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0203.pt,treasure25_4.map,珍宝岛(新),夺宝(treasure),1125,13,15,4,56,85,4,40,0.554622,1.0,res/wall/夺宝/sculpture.ogg,res/wall/夺宝/db.png,0,2,2,1.3
level_0204.pt,water01_4.map,水面01,普通(normal),1,13,15,4,41,62,18,0,0.760369,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0205.pt,water02_4.map,水面02,普通(normal),2,13,15,4,24,96,1,0,0.491071,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0206.pt,water03_8.map,水面03,普通(normal),3,13,15,8,42,111,2,0,0.42471,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0207.pt,water04_8.map,水面04,普通(normal),4,13,15,8,54,76,0,0,0.620301,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0208.pt,water05_8.map,水面05,普通(normal),5,13,15,8,49,97,0,0,0.486009,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0209.pt,water06_8.map,水面06,普通(normal),6,13,15,8,32,96,1,0,0.491071,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0210.pt,water07_8.map,水面07,普通(normal),7,13,15,8,5,123,0,0,0.383275,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0211.pt,water08_8.map,水面08,普通(normal),8,13,15,8,25,117,4,0,0.40293,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0212.pt,water09_8.map,水面09,普通(normal),9,13,15,8,23,113,19,0,0.417193,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0213.pt,water10_8.map,水面10,普通(normal),10,13,15,8,33,87,4,0,0.541872,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0214.pt,water11_8.map,水面11,普通(normal),11,13,15,8,28,45,2,0,1.0,0.954545,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,3,3,1.3
level_0215.pt,water12_8.map,水面12(道具场),普通(normal),16,13,15,8,16,38,2,0,1.0,0.806061,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,3,3,1.3
level_0216.pt,water13_8.map,水面13,普通(normal),13,13,15,8,23,95,0,0,0.496241,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0217.pt,water14_8.map,水面14,普通(normal),14,13,15,8,23,95,0,0,0.496241,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0218.pt,water15_8.map,水面15,普通(normal),15,13,15,8,28,77,0,0,0.612245,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0219.pt,water16_8.map,水面17,普通(normal),17,13,15,8,83,16,0,0,1.0,0.339394,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,3,3,1.3
level_0220.pt,water17_8.map,水波漩涡,普通(normal),18,13,15,8,23,77,1,0,0.612245,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0221.pt,water18_8.map,水之牢,普通(normal),19,13,15,8,18,80,1,0,0.589286,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0222.pt,water19_8.map,灵动水面,普通(normal),20,13,15,8,10,68,12,0,0.693277,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0223.pt,water20_8.map,热吻,普通(normal),21,13,15,8,6,90,11,0,0.52381,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0224.pt,water21_8.map,水上热力,普通(normal),22,13,15,8,9,84,4,0,0.561224,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0225.pt,water22_8.map,海洋之声,普通(normal),23,13,15,8,10,113,0,0,0.417193,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0226.pt,water23_8.map,水面23,普通(normal),24,13,15,8,12,83,4,0,0.567986,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0227.pt,water25_4.map,爱的结晶,普通(normal),25,13,15,4,22,60,0,0,0.785714,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0228.pt,water26_8.map,心心相映,普通(normal),26,13,15,8,6,72,2,0,0.654762,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0229.pt,water27_8.map,水面奇缘,普通(normal),27,13,15,8,14,93,8,0,0.506912,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0230.pt,water28_8.map,海冰之湾,普通(normal),28,13,15,8,22,60,1,0,0.785714,1.0,res/wall/水面/water.OGG,res/wall/水面/sm.png,0,2,2,1.3
level_0231.pt,box01_8.map,箱亲箱爱,推箱子(box),1401,13,15,8,8,92,7,92,0.512422,1.0,res/wall/比武/T1.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0232.pt,box02_8.map,箱路,推箱子(box),1402,13,15,8,16,55,5,55,0.857143,1.0,res/wall/比武/T2.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0233.pt,box03_8.map,游乐场,推箱子(box),1403,13,15,8,15,82,4,81,0.574913,1.0,res/wall/比武/T2.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0234.pt,box04_8.map,占箱为王,推箱子(box),1404,13,15,8,0,85,4,85,0.554622,1.0,res/wall/比武/T1.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0235.pt,box05_6.map,心心箱印,推箱子(box),1405,13,15,8,17,93,11,93,0.506912,1.0,res/wall/比武/T1.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0236.pt,box06_6.map,e箱情愿,推箱子(box),1406,13,15,8,5,108,4,108,0.436508,1.0,res/wall/比武/T3.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0237.pt,box07_8.map,箱棋,推箱子(box),1407,13,15,8,13,70,4,70,0.673469,1.0,res/wall/比武/T3.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0238.pt,box08_8.map,无极,推箱子(box),1408,13,15,8,2,65,4,65,0.725275,1.0,res/wall/比武/T2.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0239.pt,box09_8.map,贪吃蛇,推箱子(box),1409,13,15,8,0,83,4,83,0.567986,1.0,res/wall/比武/T3.ogg,res/wall/比武/bw.png,0,2,2,1.3
level_0240.pt,empty_scene,空场景,open(空场景),0,13,15,2,0,0,0,0,0.0,0.0,res/wall/中国城/town.ogg,res/wall/中国城/town.png,0,8,6,1.68
